name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Jeera Biscuits,Bakery,071248185002,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff8810608954715702b,33.11,True,False,,0.0,450.0
Haldiram Soan Papdi 500Gm,Bakery,8904004405323,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff8810608954715703c,43.06,True,False,,0.05,344.0
Unico Red Kidney Bean 796Ml,Lentils,067800002399,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157059,60.86,True,False,,0.0,245.0
Boroline 40G,Personal Care,8901531300022,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157071,51.46,True,False,,0.0,260.0
Set Wet Glaze Wax 60G,Personal Care,8901088138130,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157081,57.89,True,False,,0.05,187.0
Denver Victor Body Spray 165Ml,Personal Care,8901450011757,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff8810608954715708b,53.33,True,False,,0.05,450.0
Lakme Kajal,Personal Care,8901030763199,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157099,49.61,True,False,,0.05,527.0
Mamaearth Lip Balm 4G,Personal Care,8904417303315,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff881060895471570a3,58.97,True,False,,0.05,310.0
Black Pepper Whole,Spices,0726358529335,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f12,57.6,True,False,,0.0,250.0
Hercullus Drawstring Blue Recycling Kitchen Bags (42.5L)10Bags,Disposables,055966905609,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f4a,57.6,True,False,,0.0,250.0
Panchranga Lime Pickle 1 Kg,Other,884282184326,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f55,64.33,True,False,,0.0,300.0
Crest 3D White Arctic White,Other,030772053829,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f59,31.66,True,False,,0.12,379.0
Nutrifresh Roasted Chana 800G,Other,675305252463,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f5a,53.33,True,False,,0.05,450.0
